|NAME: LUSAKA CITY COUNCIL|||||||||||
|2026  PERFORMANCE REPORT|||Period: 01-Jan-2026 to 30-Jun-2026||||||||
|REVENUE SOURCES|||||||||||
|#|Receipts|Budget|Actual|Varinace|Performance||||||
||||as at 30-Jun- 2026||||||||
|||a|b|c=a-b|b/a||||||
|||ZMW|ZMW|ZMW|%||||||
||    Kilometers of drainage rehabilitated||2||2|0|0|1|||
||    Kilometers of township roads rehabilitated||2||0|0|-2|0|||
||    Number of Street Lights installed||40||90|0|50|2.25|||
||Agricultural Services|430000||205988||-224012|||||
||Key Output / Output Indicator|Annual Budget|Target 2026|Actual Expenditure (n/a by indicator)|Actual 2026|Actual 2026|Actual 2026|Actual 2026|||
||Farmers and Extension Officers Trained||||||||||
||    Number of farmers trained||500||3499|0|2999|6.998|||
||    Number of extension officers trained||500||40|0|-460|0.08|||
||Crop Monitoring Conducted||||||||||
||    Number of crop monitoring inspections conducted||32||80|0|48|2.5|||
||Agricultural Information Disseminated||||||||||
||    Percentage of agricultural information disseminated||100%||45%|0|-0.55|0.45|||
||Agricultural Show Exhibitions Conducted||||||||||
||    Number of shows participated||2||1|0|-1|0.5|||
||Entrepreneurship Development Promoted||||||||||
||    Number of entrepreneurship trainings conducted||5||0|0|-5|0|||
||Farmer Registration Facilitated||||||||||
||    Number of farmers registered on ZIAMIS||500||420|0|-80|0.84|||
||Monitoring & Evaluation of Agricultural Programmes Conducted||||||||||
||    Number of Monitoring & Evaluation reports produced||4||2|0|-2|0.5|||
||Fisheries and Livestock|602667||349713||-252954|||||
||Key Output / Output Indicator|Annual Budget|Target 2026|Actual Expenditure (n/a by indicator)|Actual 2026|Actual 2026|Actual 2026|Actual 2026|||
||Market access and entrepreneurship strengthened||||||||||
||    Number of entrepreneurs trained||100||41|0|-59|0.41|||
||Livestock Health and Disease Control Improved||||||||||
||    Number of disease surveillance conducted||500||203|0|-297|0.406|||
||    Number of stock movement permits issued||3800||1438|0|-2362|0.37842105263157894|||
||    Number of export permits issued||3500||1987|0|-1513|0.5677142857142857|||
||    Number of extension visits conducted||36||7|0|-29|0.19444444444444445|||
||Capture Fisheries Productivity Improved||||||||||
||    Number of surveillance and law enforcement operations conducted||4||3|0|-1|0.75|||
||Aquaculture Productivity Improved||||||||||
||    Number of sustainable fisheries practices promoted||48||23|0|-25|0.4791666666666667|||
||Livestock Production Increased||||||||||
||    Number of extension visits conducted||62||32|0|-30|0.5161290322580645|||
||    Number of extension trainings and demonstrations conducted||9||4|0|-5|0.4444444444444444|||
||Social Protection and Community Development|60244398||46862872.14||-13381525.86|||||
||Key Output / Output Indicator|Annual Budget|Target 2026|Actual Expenditure (n/a by indicator)|Actual 2026|Actual 2026|Actual 2026|Actual 2026|||
||Cash for Work Programme Implemented||||||||||
||    Number of Cash for Work beneficiaries supported||15379||0|0|-15379|0|||
||    Amount of Cash for Work funds disbursed (ZMW)||59563160||46862872|0|-12700288|0.7867761213474906|||
||Welfare Services Provided||||||||||
||    Number of households supported||25||||||||
||TOTAL — ALL PROGRAMMES|1151994693||374546580.16999996||-777448112.83||0.32512873752448784|||
